filename,Class
1429_hmi.M_720s.20120309_011200_TAI.1.magnetogram_224.png,M
1613_hmi.M_720s.20121113_051200_TAI.1.magnetogram_224.png,M
1618_hmi.M_720s.20121121_064800_TAI.1.magnetogram_224.png,M
2320_hmi.M_720s.20150407_183600_TAI.1.magnetogram_224.png,M
1652_hmi.M_720s.20130112_084800_TAI.1.magnetogram_224.png,M
1748_hmi.M_720s.20130516_220000_TAI.1.magnetogram_224.png,M
1429_hmi.M_720s.20120310_170000_TAI.1.magnetogram_224.png,M
2297_hmi.M_720s.20150313_163600_TAI.1.magnetogram_224.png,M
1726_hmi.M_720s.20130421_154800_TAI.1.magnetogram_224.png,M
2297_hmi.M_720s.20150311_212400_TAI.1.magnetogram_224.png,M
1875_hmi.M_720s.20131026_134800_TAI.1.magnetogram_224.png,M
2182_hmi.M_720s.20141008_123600_TAI.1.magnetogram_224.png,M
2242_hmi.M_720s.20141221_121200_TAI.1.magnetogram_224.png,M
1429_hmi.M_720s.20120310_040000_TAI.1.magnetogram_224.png,M
1434_hmi.M_720s.20120317_094800_TAI.1.magnetogram_224.png,M
1967_hmi.M_720s.20140202_023600_TAI.1.magnetogram_224.png,M
1652_hmi.M_720s.20130112_204800_TAI.1.magnetogram_224.png,M
1429_hmi.M_720s.20120308_050000_TAI.1.magnetogram_224.png,M
1476_hmi.M_720s.20120509_222400_TAI.1.magnetogram_224.png,M
1513_hmi.M_720s.20120703_231200_TAI.1.magnetogram_224.png,M
1974_hmi.M_720s.20140214_070000_TAI.1.magnetogram_224.png,M
1875_hmi.M_720s.20131023_193600_TAI.1.magnetogram_224.png,M
1719_hmi.M_720s.20130411_054800_TAI.1.magnetogram_224.png,M
1432_hmi.M_720s.20120314_164800_TAI.1.magnetogram_224.png,M
1520_hmi.M_720s.20120709_043600_TAI.1.magnetogram_224.png,M
1936_hmi.M_720s.20140101_044800_TAI.1.magnetogram_224.png,M
2080_hmi.M_720s.20140611_040000_TAI.1.magnetogram_224.png,M
1967_hmi.M_720s.20140131_213600_TAI.1.magnetogram_224.png,M
1342_hmi.M_720s.20111108_183600_TAI.1.magnetogram_224.png,M
1620_hmi.M_720s.20121126_220000_TAI.1.magnetogram_224.png,M
1166_hmi.M_720s.20110311_091200_TAI.1.magnetogram_224.png,M
2268_hmi.M_720s.20150127_192400_TAI.1.magnetogram_224.png,M
1161_hmi.M_720s.20110215_183600_TAI.1.magnetogram_224.png,M
1719_hmi.M_720s.20130411_060000_TAI.1.magnetogram_224.png,M
1875_hmi.M_720s.20131023_033600_TAI.1.magnetogram_224.png,M
1974_hmi.M_720s.20140212_221200_TAI.1.magnetogram_224.png,M
1877_hmi.M_720s.20131028_052400_TAI.1.magnetogram_224.png,M
1731_hmi.M_720s.20130503_160000_TAI.1.magnetogram_224.png,M
1261_hmi.M_720s.20110803_002400_TAI.1.magnetogram_224.png,M
1877_hmi.M_720s.20131023_132400_TAI.1.magnetogram_224.png,M
2027_hmi.M_720s.20140402_074800_TAI.1.magnetogram_224.png,M
2443_hmi.M_720s.20151104_004800_TAI.1.magnetogram_224.png,M
2253_hmi.M_720s.20150103_173600_TAI.1.magnetogram_224.png,M
