filename,Class
1777_hmi.M_720s.20130623_002400_TAI.1.magnetogram_224.png,0
2203_hmi.M_720s.20141102_142400_TAI.1.magnetogram_224.png,0
1115_hmi.M_720s.20101019_233600_TAI.1.magnetogram_224.png,0
1410_hmi.M_720s.20120205_063600_TAI.1.magnetogram_224.png,0
1928_hmi.M_720s.20131218_042400_TAI.1.magnetogram_224.png,0
2236_hmi.M_720s.20141214_190000_TAI.1.magnetogram_224.png,0
1658_hmi.M_720s.20130121_001200_TAI.1.magnetogram_224.png,0
2658_hmi.M_720s.20170521_150000_TAI.3.magnetogram_224.png,0
2659_hmi.M_720s.20170524_160000_TAI.3.magnetogram_224.png,0
1216_hmi.M_720s.20110519_062400_TAI.1.magnetogram_224.png,0
2465_hmi.M_720s.20151210_030000_TAI.1.magnetogram_224.png,0
2252_hmi.M_720s.20150101_051200_TAI.1.magnetogram_224.png,0
2042_hmi.M_720s.20140423_040000_TAI.1.magnetogram_224.png,0
2247_hmi.M_720s.20141230_142400_TAI.1.magnetogram_224.png,0
2485_hmi.M_720s.20160117_072400_TAI.1.magnetogram_224.png,0
1372_hmi.M_720s.20111211_194800_TAI.1.magnetogram_224.png,0
2384_hmi.M_720s.20150711_174800_TAI.1.magnetogram_224.png,0
1963_hmi.M_720s.20140122_014800_TAI.1.magnetogram_224.png,0
1539_hmi.M_720s.20120809_001200_TAI.1.magnetogram_224.png,0
1505_hmi.M_720s.20120614_174800_TAI.1.magnetogram_224.png,0
1147_hmi.M_720s.20110119_053600_TAI.1.magnetogram_224.png,0
2170_hmi.M_720s.20140919_033600_TAI.1.magnetogram_224.png,0
2518_hmi.M_720s.20160310_171200_TAI.1.magnetogram_224.png,0
2663_hmi.M_720s.20170619_020000_TAI.3.magnetogram_224.png,0
1990_hmi.M_720s.20140302_201200_TAI.1.magnetogram_224.png,0
1381_hmi.M_720s.20111220_194800_TAI.1.magnetogram_224.png,0
2340_hmi.M_720s.20150511_110000_TAI.1.magnetogram_224.png,0
2536_hmi.M_720s.20160429_233600_TAI.3.magnetogram_224.png,0
1702_hmi.M_720s.20130322_163600_TAI.1.magnetogram_224.png,0
2379_hmi.M_720s.20150706_211200_TAI.1.magnetogram_224.png,0
1779_hmi.M_720s.20130629_160000_TAI.1.magnetogram_224.png,0
2130_hmi.M_720s.20140805_234800_TAI.1.magnetogram_224.png,0
1525_hmi.M_720s.20120722_233600_TAI.1.magnetogram_224.png,0
2141_hmi.M_720s.20140820_164800_TAI.1.magnetogram_224.png,0
2686_hmi.M_720s.20171028_002400_TAI.3.magnetogram_224.png,0
1781_hmi.M_720s.20130630_212400_TAI.1.magnetogram_224.png,0
1682_hmi.M_720s.20130228_021200_TAI.1.magnetogram_224.png,0
2431_hmi.M_720s.20151018_201200_TAI.1.magnetogram_224.png,0
2363_hmi.M_720s.20150608_084800_TAI.1.magnetogram_224.png,0
1810_hmi.M_720s.20130809_104800_TAI.1.magnetogram_224.png,0
1918_hmi.M_720s.20131216_202400_TAI.1.magnetogram_224.png,0
2614_hmi.M_720s.20161129_154800_TAI.3.magnetogram_224.png,0
2674_hmi.M_720s.20170906_133600_TAI.3.magnetogram_224.png,0
1945_hmi.M_720s.20140105_123600_TAI.1.magnetogram_224.png,0
2683_hmi.M_720s.20171003_033600_TAI.3.magnetogram_224.png,0
2044_hmi.M_720s.20140422_201200_TAI.1.magnetogram_224.png,0
2106_hmi.M_720s.20140705_172400_TAI.1.magnetogram_224.png,0
2567_hmi.M_720s.20160717_222400_TAI.3.magnetogram_224.png,0
1611_hmi.M_720s.20121116_120000_TAI.1.magnetogram_224.png,0
2221_hmi.M_720s.20141204_051200_TAI.1.magnetogram_224.png,0
2400_hmi.M_720s.20150816_151200_TAI.1.magnetogram_224.png,0
2313_hmi.M_720s.20150331_001200_TAI.1.magnetogram_224.png,0
1742_hmi.M_720s.20130512_054800_TAI.1.magnetogram_224.png,0
2332_hmi.M_720s.20150424_024800_TAI.1.magnetogram_224.png,0
2693_hmi.M_720s.20180105_213600_TAI.3.magnetogram_224.png,0
1611_hmi.M_720s.20121113_182400_TAI.1.magnetogram_224.png,0
1085_hmi.M_720s.20100630_204800_TAI.1.magnetogram_224.png,0
2436_hmi.M_720s.20151024_083600_TAI.1.magnetogram_224.png,0
2202_hmi.M_720s.20141031_183600_TAI.1.magnetogram_224.png,0
2276_hmi.M_720s.20150201_124800_TAI.1.magnetogram_224.png,0
1375_hmi.M_720s.20111212_220000_TAI.1.magnetogram_224.png,0
2027_hmi.M_720s.20140406_033600_TAI.1.magnetogram_224.png,0
2543_hmi.M_720s.20160513_083600_TAI.3.magnetogram_224.png,0
1375_hmi.M_720s.20111212_100000_TAI.1.magnetogram_224.png,0
1769_hmi.M_720s.20130617_141200_TAI.1.magnetogram_224.png,0
2169_hmi.M_720s.20140921_154800_TAI.1.magnetogram_224.png,0
1770_hmi.M_720s.20130621_151200_TAI.1.magnetogram_224.png,0
1203_hmi.M_720s.20110501_014800_TAI.1.magnetogram_224.png,0
1873_hmi.M_720s.20131024_060000_TAI.1.magnetogram_224.png,0
1101_hmi.M_720s.20100901_130000_TAI.1.magnetogram_224.png,0
